ScripCode|TradingSymbol|Description|InstrumentType
26000|Nifty 50|Nifty 50|0
26003|Nifty 500|Nifty 500|0
26008|Nifty IT|Nifty IT|0
26009|Nifty Bank|Nifty Bank|0
26010|Nifty Midcap 100|Nifty MIDCAP 100|0
26011|Nifty SMLCAP 100|NIFTY SMLCAP 100|0
26012|Nifty 100|Nifty 100|0
26013|Next 50|Nifty Next 50|0
26014|Midcap 50|Nifty Midcap 50|0
26017|INDIA VIX|India VIX|0
26018|Mid Liq 15|Nifty Mid Liq 15|0
26019|Nifty Infra|Nifty Infra|0
26020|50 PR 1x Inv|Nifty50 PR 1x Inv|0
26021|TOTAL MKT|NIFTY TOTAL MKT|0
26022|MICROCAP250|NIFTY MICROCAP250|0
26023|IND DIGITAL|NIFTY IND DIGITAL|0
26024|Nifty PSE|Nifty PSE|0
26025|Pvt Bank|Nifty Pvt Bank|0
26026|Quality 30|NIFTY100 Qualty30|0
26027|100 ESG|NIFTY100 ESG|0
26028|M150 QLTY50|NIFTY M150 QLTY50|0
26029|GS 10Yr Cln|Nifty GS 10Yr Cln|0
26030|GS 4 8Yr|Nifty GS 4 8Yr|0
26031|INDIA MFG|NIFTY INDIA MFG|0
26037|Fin Service|Nifty Fin Service|0
26041|Nifty CPSE|Nifty CPSE|0
26042|M150 Mom 50|NiftyM150Momntm50|0
26043|200 Alpha 30|Nifty200 Alpha 30|0
26044|Mid Sml Hlth|Nifty MidSml Hlth|0
26045|Multi Mfg|Nifty Multi Mfg|0
26046|Multi Infra|Nifty Multi Infra|0
26047|Tata 25 Cap|Nifty Tata 25 Cap|0
26048|Consumption|Nifty Consumption|0
26051|100 Liq 15|Nifty100 Liq 15|0
26052|Nifty Realty|Nifty Realty|0
26053|GS 8 13Yr|Nifty GS 8 13Yr|0
26054|Nifty Energy|Nifty Energy|0
26055|Nifty FMCG|Nifty FMCG|0
26056|Nifty MNC|Nifty MNC|0
26057|Nifty Pharma|Nifty Pharma|0
26058|GS 10Yr|Nifty GS 10Yr|0
26059|PSU Bank|Nifty PSU Bank|0
26060|Serv Sector|Nifty Serv Sector|0
26061|Nifty Auto|Nifty Auto|0
26062|Nifty Metal|Nifty Metal|0
26063|Nifty Media|Nifty Media|0
26065|Nifty 200|Nifty 200|0
26066|Commodities|Nifty Commodities|0
26067|200 Momen|Nifty200Momentm30|0
26068|100 ES|Nifty100ESGSecLdr|0
26069|GS 11 15Yr|Nifty GS 11 15Yr|0
26070|GS 15YrPlus|Nifty GS 15YrPlus|0
26071|GS Compsite|Nifty GS Compsite|0
26064|50 PR 2x Lev|Nifty50 PR 2x Lev|0
26074|MID SELECT|NIFTY MID SELECT|0
26075|50 TR 2x Lev|Nifty50 TR 2x Lev|0
26076|50 TR 1x Inv|Nifty50 TR 1x Inv|0
26078|Div Opps 50|Nifty Div Opps 50|0
26080|50 Div Point|Nifty50 Div Point|0
26081|50 Value 20|Nifty50 Value 20|0
26082|GrowSect 15|Nifty GrowSect 15|0
26083|50 EQL Wgt|NIFTY50 EQL Wgt|0
26084|100 EQL Wgt|NIFTY100 EQL Wgt|0
26085|100 LowVol30|NIFTY100 LowVol30|0
26086|Alpha 50|NIFTY Alpha 50|0
26087|Midcap 150|NIFTY MIDCAP 150|0
26088|Smallcap 50|NIFTY SMLCAP 50|0
26089|Smallcap 250|NIFTY SMLCAP 250|0
26091|MidSmallcap 400|NIFTY MIDSML 400|0
26092|200 Quality 30|NIFTY200 QUALTY30|0
26093|FinSrv25|Nifty FinSrv25 50|0
26094|Alpha LowVol|NIFTY AlphaLowVol|0
26095|CONSR DURBL|NIFTY CONSR DURBL|0
26096|HEALTHCARE|NIFTY HEALTHCARE|0
26097|LARGEMID250|NIFTY LARGEMID250|0
26098|500 MULTICAP|NIFTY500 MULTICAP|0
26099|OIL AND GAS|NIFTY OIL AND GAS|0
26032|BHARATBOND-APR25|BHARATBOND-APR25|0
26033|BHARATBOND-APR30|BHARATBOND-APR30|0
26034|BHARATBOND-APR31|BHARATBOND-APR31|0
26035|BHARATBOND-APR32|BHARATBOND-APR32|0
26036|BHARATBOND-APR33|BHARATBOND-APR33|0
26038|Ind Defence|Nifty Ind Defence|0
26039|Ind Tourism|Nifty Ind Tourism|0
26040|Capital Mkt|Nifty Capital Mkt|0
26049|500 Momen|Nifty500Momentm50|0
26050|MS 400 MQ 100|NiftyMS400 MQ 100|0
26079|Sml 250 mQ 100|NiftySml250MQ 100|0
26077|Top 10 EW|Nifty Top 10 EW|0
26100|AQL 30|Nifty AQL 30|0
26101|AQLV 30|Nifty AQLV 30|0
26102|NIFTY EV|Nifty EV|0
26103|HIGHBETA 50|Nifty HighBeta 50|0
26104|NEW CONSUMP|Nifty New Consump|0
26105|CORP MAATR|Nifty Corp MAATR|0
26106|LOW VOL 50|Nifty Low Vol 50|0
26107|MOBILITY|Nifty Mobility|0
26108|QLTY LV 30|Nifty Qlty LV 30|0
26109|SML250 Q50|Nifty Sml250 Q50|0
26110|TOP 15 EW|Nifty Top 15 EW|0
26111|NIALPHA30|Nifty100 Alpha 30|0
26112|NI100ENESG|Nifty100 Enh ESG|0
26113|NI200VAL30|Nifty200 Value 30|0
26114|NIFTY500 EW|Nifty500 EW|0
26115|MULTI MQ 50|Nifty Multi MQ 50|0
26116|NI500VAL50|Nifty500 Value 50|0
26117|TOP 20 EW|Nifty Top 20 EW|0
26118|COREHOUSING|Nifty CoreHousing|0
